name,baseline_mean,variant_mean,diff,W_statistic,p_value,significance,cohens_d,rank_biserial_r
random_search,746.7760,613.7649,-133.0111,4.2431,0.0000,***,-1.2064,-0.6378
de_baseline,746.7760,684.7834,-61.9926,2.0550,0.0399,*,-0.5211,-0.3089
pso_baseline,746.7760,772.4989,25.7230,-1.0645,0.2871,ns,0.1996,0.1600
cmaes_baseline,746.7760,809.4130,62.6371,-2.5429,0.0110,*,0.5184,0.3822
