Algorithm,N,Mean,Std,Median,Best,Worst
GA (Baseline),30,746.78,135.22,754.74,1093.82,472.52
CMA-ES,30,809.41,99.70,819.82,1136.19,517.57
DE,30,684.78,95.30,658.67,918.80,526.01
PSO,30,772.50,117.52,779.26,1067.65,486.87
Random Search,30,613.76,72.22,617.81,742.11,497.96
