experiment,n_runs,mean,std,best,worst,median,g80_mean,g80_std
baseline,30,746.7760,137.5306,1093.8223,472.5195,754.7438,14.7667,12.4032
cpg_baseline,30,889.3131,110.5667,1286.1075,743.0841,862.4808,13.5667,14.2869
cpgnn_flat,30,948.7878,100.2415,1251.2414,813.9804,926.2147,10.7333,13.3828
cpgnn_frozen,30,1024.2051,173.7584,1439.8771,739.9262,995.4530,14.4667,17.7933
cpgnn_mixed,30,701.2512,128.2238,1070.9960,358.0198,737.6164,16.4667,18.0014
cpgnn_random_init,30,889.2393,270.0361,1369.6583,505.1097,846.3267,17.6000,11.5925
cpgnn_2x_budget,30,1190.9979,198.7634,1613.3567,880.5674,1223.2133,52.2333,47.6421
cpgnn_high_mutation,30,992.5121,171.5311,1455.2254,768.4460,959.5885,17.4000,18.7573
