controller,creature_idx,distance,avg_speed,step_frequency,duty_factor,double_support,avg_torso_angle,torso_stability,cost_of_transport,fitness
sine,0,-29.230395391474417,-1.9486930260982944,None,None,None,1.4431383390203472,0.5797617253467047,0.5981670423994384,-35.35678475724755
sine,1,358.0486786862728,23.869911912418186,None,None,None,3.5151805668147573,0.9082889462422769,0.05382831816774,339.54523601056064
sine,2,-64.54613293698063,-4.303075529132042,None,None,None,0.9930379566895439,3.78017730316701,0.2803886459311553,-85.6772559796949
sine,3,212.02696812353778,14.135131208235853,None,None,None,3.1649643209230685,1.1333894018727224,0.09878753210421391,181.65565430069844
sine,4,119.76781658448158,7.984521105632106,None,None,None,1.5115298642153536,0.7793698628404778,0.15359207017206217,102.10228608851592
sine,5,119.76781658448158,7.984521105632106,None,None,None,1.5115298642153536,0.7793698628404778,0.15359207017206217,102.10228608851592
sine,6,-27.909546260821813,-1.860636417388121,None,None,None,0.5229254603032859,1.4365285635576555,0.7307465787728279,-29.45465444879034
sine,7,93.57416869665026,6.238277913110019,None,None,None,0.6157951047360365,2.7246599521490786,0.19458448969710992,92.39291093684552
sine,8,-51.79221778186686,-3.452814518791124,None,None,None,0.3094125750121416,3.794563143998776,0.38154943304412003,-56.4572998846823
sine,9,19.183113898447004,1.2788742598964669,None,None,None,0.6249198660326768,1.7323252926029937,0.9032536539455581,11.54978899928865
sine,10,-30.758459912040507,-2.050563994136034,None,None,None,0.8224575590422637,3.1357526252886334,0.5416192488687058,-34.27661507237224
sine,11,51.85291210993137,3.456860807328758,None,None,None,0.7047272667814237,0.9085678282153639,0.3651717589915622,42.131388669824254
sine,12,353.92832722775773,23.595221815183844,None,None,None,2.906720305317077,0.6119897810934128,0.05296352838288013,343.0197231194624
sine,13,388.91386319347384,25.927590879564928,None,None,None,2.156597761684604,1.0823519240885593,0.04482769759980191,381.4199411083591
sine,14,-178.47123350673942,-11.89808223378263,None,None,None,1.4900642198405603,0.5591352306410116,0.11384668308914568,-200.393094996335
sine,15,55.908258528765145,3.72721723525101,None,None,None,0.9648163106470008,1.6549587988953485,0.3865241870958352,50.30659744576164
sine,16,-223.83833260096404,-14.922555506730937,None,None,None,0.3470076924816618,6.469267126017537,0.08449550835092835,-237.63228678917542
sine,17,9.697055287263211,0.646470352484214,None,None,None,0.2879402324942172,4.960179833747966,1.8603757554338098,6.60588119218674
sine,18,27.097500531160406,1.8065000354106937,None,None,None,0.7437159185203498,1.0309860039282777,0.6717517740943361,16.280425680689763
sine,19,12.31809269270616,0.821206179513744,None,None,None,2.6513051507575094,0.9201234445851934,1.447373904266913,-9.95619905445497
sine,20,28.58545375308549,1.905696916872366,None,None,None,0.805238518569617,1.2406882805711645,0.6922911741901737,28.070162211749345
sine,21,-467.9480210571034,-31.196534737140226,None,None,None,0.946746271782359,4.300788220102606,0.0377864881025125,-480.04461027628366
sine,22,95.41171146301485,6.3607807642009915,None,None,None,2.0636025364472874,1.3902658797386518,0.18567746651395545,70.29096580825052
sine,23,-50.53576783847512,-3.3690511892316746,None,None,None,0.22343156998445077,3.0849537466960375,0.3539232924802371,-59.16939518146102
sine,24,19.332750373222964,1.2888500248815309,None,None,None,0.4852167163082582,2.590471081925782,0.9227884462670625,9.333249859277586
sine,25,277.01504644163333,18.467669762775554,None,None,None,0.9021143247683244,1.618646448901006,0.06500614349484247,271.9902623425521
sine,26,97.12462878444518,6.474975252296345,None,None,None,0.69027250451316,1.2241354665258721,0.18676180955573055,90.18952115871078
sine,27,3.060907147634481,0.2040604765089654,None,None,None,0.48168140899047657,2.956409206972302,5.961876819891646,-0.7145718061790971
sine,28,62.80769786414746,4.187179857609831,None,None,None,0.24388308291356697,6.814732970247667,0.2524683808907204,60.05128521010746
sine,29,106.65072725657292,7.110048483771529,None,None,None,0.7891652714993068,3.878926337329782,0.17696299639823923,98.56658922451295
