name,baseline_mean,variant_mean,diff,W_statistic,p_value,significance,cohens_d,rank_biserial_r
cpg_baseline,746.7760,889.3131,142.5371,-4.5536,0.0000,***,1.1423,0.6844
cpgnn_flat,746.7760,948.7878,202.0118,-5.4998,0.0000,***,1.6787,0.8267
cpgnn_frozen,746.7760,1024.2051,277.4291,-5.5885,0.0000,***,1.7705,0.8400
cpgnn_mixed,746.7760,701.2512,-45.5248,1.3897,0.1646,ns,-0.3424,-0.2089
cpgnn_random_init,746.7760,889.2393,142.4633,-2.1881,0.0287,*,0.6648,0.3289
